Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55404546,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",5,4.04,Ballantine Books,Hardcover,369,2021,2021,2021/09/08,2021/09/07,2021,2021 (#16),read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.51,Ballantine Books,Hardcover,476,2021,2021,2021/09/16,2021/08/23,2021,2021 (#15),read,,,,1,0
30375706,Things We Lost in the Fire,Mariana Enríquez,"Enríquez, Mariana",,"=""045149511X""","=""9780451495112""",2,4.06,Hogarth,Hardcover,192,2017,2016,2021/09/20,2021/08/20,2021,2021 (#14),read,,,,1,0
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,"=""1250304458""","=""9781250304452""",3,3.63,Celadon Books,Hardcover,337,2021,2021,2021/09/22,2021/08/20,2021,2021 (#13),read,,,,1,0
43263680,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313074""","=""9781250313072""",4,4.02,Flatiron Books,Hardcover,461,2019,2019,2021/09/30,2021/09/21,2021,2021 (#12),read,,,,1,0
50833559,Home Before Dark,Riley Sager,"Sager, Riley",,"=""1524745170""","=""9781524745172""",4,4.07,Dutton Books,Hardcover,389,2020,2020,2021/11/02,2021/10/13,2021,2021 (#11),read,,,,1,0
53138099,"Finlay Donovan Is Killing It (Finlay Donovan, #1)",Elle Cosimano,"Cosimano, Elle",,"=""1250241707""","=""9781250241702""",3,4.01,Minotaur Books,Hardcover,355,2021,2021,2021/11/11,2021/11/08,2021,2021 (#10),read,,,,1,0
22125258,Get in Trouble,Kelly Link,"Link, Kelly",,"=""""","=""""",3,3.68,Random House,Hardcover,336,2015,2015,2021/11/27,2021/09/26,2021,2021 (#9),read,,,,1,0
39893545,"The Vanishing Stair (Truly Devious, #2)",Maureen Johnson,"Johnson, Maureen",,"=""0062338080""","=""9780062338082""",4,4.14,Katherine Tegen Books,Hardcover,369,2019,2019,2021/11/28,2021/10/01,2021,2021 (#8),read,,,,1,0
45240918,"The Hand on the Wall (Truly Devious, #3)",Maureen Johnson,"Johnson, Maureen",,"=""0062338110""","=""9780062338112""",4,4.14,Katherine Tegen Books,Hardcover,369,2020,2020,2021/12/04,2021/11/11,2021,2021 (#7),read,,,,1,0
50607901,The Ghost Tree,Christina Henry,"Henry, Christina",,"=""0451492307""","=""9780451492302""",0,3.83,Berkley,Paperback,415,2020,2020,,2021/12/13,to-read,to-read (#18),to-read,,,,0,0
34895950,"The Tea Dragon Society (Tea Dragon, #1)",Kay O'Neill,"O'Neill, Kay",,"=""1620104415""","=""9781620104415""",0,4.35,Oni Press,Hardcover,71,2017,2017,,2021/12/06,to-read,to-read (#17),to-read,,,,0,0
52439531,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""1368052401""","=""9781368052405""",0,4.15,"Little, Brown Books for Young Readers",Hardcover,386,2020,2020,,2021/12/06,,,read,,,,1,0
36430011,"You (You, #1)",Caroline Kepnes,"Kepnes, Caroline",,"=""1501195433""","=""9781501195433""",0,3.96,Atria/Emily Bestler Books,Paperback,464,2018,2014,,2021/12/06,to-read,to-read (#16),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.27,Ace,Hardcover,658,2019,1965,,2021/09/30,to-read,to-read (#15),to-read,,,,0,0
45047384,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,"Klune, T.J.",,"=""""","=""""",0,4.40,Tor Books,Kindle Edition,394,2020,2020,,2021/09/30,to-read,to-read (#14),to-read,,,,0,0
41957126,Verity,Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",0,4.31,"Hoover Ink, Inc.",Kindle Edition,324,2018,2018,,2021/09/30,to-read,to-read (#13),to-read,,,,0,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",0,4.21,Gollancz,Paperback,515,2007,2006,,2021/09/21,to-read,to-read (#12),to-read,,,,0,0
53205888,Under the Whispering Door,T.J. Klune,"Klune, T.J.",,"=""1250217342""","=""9781250217349""",0,4.15,Tor Books,Hardcover,376,2021,2021,,2021/09/20,to-read,to-read (#11),to-read,,,,0,0
30236962,The Historian,Elizabeth Kostova,"Kostova, Elizabeth",,"=""""","=""""",0,3.80," Little, Brown and Company",Kindle Edition,704,2016,2005,,2021/09/20,to-read,to-read (#10),to-read,,,,0,0
13129925,Horrorstör,Grady Hendrix,"Hendrix, Grady",,"=""1594745269""","=""9781594745263""",1,3.66,Quirk Books,Paperback,248,2014,2014,2021/09/16,2021/08/30,,,read,,,,1,0
69136,"The Book of Lost Things (The Book of Lost Things, #1)",John Connolly,"Connolly, John",,"=""0743298853""","=""9780743298858""",0,3.96,Atria Books,Hardcover,339,2006,2006,,2021/09/07,to-read,to-read (#9),to-read,,,,0,0
42080142,The Turn of the Key,Ruth Ware,"Ware, Ruth",,"=""1501188771""","=""9781501188770""",4,3.92,Scout Press,Hardcover,337,2019,2019,,2021/08/20,2021,2021 (#3),read,,,,1,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""""","=""""",0,4.06,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2021/08/23,to-read,to-read (#8),to-read,,,,0,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",0,3.88,Penguin,Paperback,368,1995,1955,,2021/08/23,to-read,to-read (#7),to-read,,,,0,0
4667024,The Help,Kathryn Stockett,"Stockett, Kathryn",,"=""0399155341""","=""9780399155345""",0,4.47,G.P. Putnam's Sons,Hardcover,464,2009,2009,,2021/08/23,to-read,to-read (#6),to-read,,,,0,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2021/08/23,to-read,to-read (#5),to-read,,,,0,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,277,2001,1951,,2021/08/23,to-read,to-read (#4),to-read,,,,0,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",0,4.17,Harper Voyager,ebook,545,2018,2018,,2021/08/23,to-read,to-read (#3),to-read,,,,0,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""9780385534635""",0,4.01,Doubleday,Hardcover,506,2011,2011,,2021/08/23,to-read,to-read (#2),to-read,,,,0,0
35522836,No Exit,Taylor  Adams,"Adams, Taylor",,"=""1912106760""","=""""",5,4.00,Joffe Books,Kindle Edition,287,2017,2017,,2021/08/22,2021,2021 (#4),read,,,,1,0
28187230,The Woman in Cabin 10,Ruth Ware,"Ware, Ruth",,"=""1501132938""","=""9781501132933""",0,3.73,Scout Press,Hardcover,341,2016,2016,,2021/08/20,2021,2021 (#2),read,,,,1,0
27161156,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,"=""0062300547""","=""9780062300546""",5,3.86,Harper,Hardcover,264,2016,2016,,2021/08/20,2021,2021 (#1),read,,,,1,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",3,4.14,Katherine Tegen Books,Paperback,487,2012,2011,,2021/04/09,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",3,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,,2021/04/09,,,read,,,,1,0
41865,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""0316015849""","=""9780316015844""",2,3.66,"Little, Brown and Company",Paperback,498,2006,2005,,2021/04/09,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",3,4.34,Scholastic Press,Hardcover,374,2008,2008,,2021/04/09,,,read,,,,1,0
33516773,Big Little Lies,Liane Moriarty,"Moriarty, Liane",,"=""0399587195""","=""9780399587191""",4,4.31,Berkley,Paperback,460,2017,2014,,2021/04/09,,,read,,,,1,0
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0670069019""","=""9780670069019""",4,4.17,Viking Canada,Hardcover,480,2008,2005,,2021/04/09,,,read,,,,1,0
41150487,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,"=""""","=""""",0,4.08,St. Martin's Griffin,Paperback,448,2019,2019,,2021/04/09,to-read,to-read (#1),to-read,,,,0,0
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""1594633665""","=""9781594633669""",3,3.96,Riverhead Books,Hardcover,336,2015,2015,,2021/04/09,,,read,,,,1,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",5,4.14,Broadway Books,Paperback,415,2014,2012,,2021/04/09,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",5,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2021/04/09,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2021/04/09,,,read,,,,1,0
